afname zonder batterij;injectie zonder batterij;timestamp
0,003583333;0,002;27/05/2023 6:56
0,003583333;0,001;27/05/2023 7:01
0;0,004;27/05/2023 7:06
0;0,003;27/05/2023 7:11
0;0,005;27/05/2023 7:16
0;0,007;27/05/2023 7:21
0;0,002;27/05/2023 7:26
0;0,002;27/05/2023 7:32
0,006416667;0;27/05/2023 7:37
0,006416667;0;27/05/2023 7:42
0,006416667;0;27/05/2023 7:47
0;0;27/05/2023 7:52
0;0,002;27/05/2023 7:57
0;0,002;27/05/2023 8:02
0,019;0,011083333;27/05/2023 8:07
0,009;0,005083333;27/05/2023 8:12
0;0,001083333;27/05/2023 8:17
0,009;0,004166667;27/05/2023 8:22
0;0,000166667;27/05/2023 8:27
0;0,000166667;27/05/2023 8:32
0;0,000583333;27/05/2023 8:37
0;0,000583333;27/05/2023 8:42
0;0,001583333;27/05/2023 8:47
0;0,058083333;27/05/2023 8:52
0,001;0,058083333;27/05/2023 8:57
0,003;0,058083333;27/05/2023 9:03
0,032;0,0805;27/05/2023 9:08
0,014;0,0755;27/05/2023 9:13
0,001;0,0855;27/05/2023 9:18
0,083166667;0,004;27/05/2023 9:23
0,105166667;0,003;27/05/2023 9:28
0,097166667;0,009;27/05/2023 9:33
0,083166667;0,014;27/05/2023 9:38
0,106166667;0,014;27/05/2023 9:43
0,113166667;0,019;27/05/2023 9:48
0,001;0,083333333;27/05/2023 9:53
0;0,101333333;27/05/2023 9:58
0;0,139333333;27/05/2023 10:03
0;0,140333333;27/05/2023 10:08
0;0,149333333;27/05/2023 10:13
0;0,151333333;27/05/2023 10:19
0;0,152166667;27/05/2023 10:24
0,003;0,146166667;27/05/2023 10:29
0;0,161166667;27/05/2023 10:34
0;0,162166667;27/05/2023 10:39
0;0,163166667;27/05/2023 10:44
0;0,168166667;27/05/2023 10:49
0;0,17225;27/05/2023 10:54
0;0,17325;27/05/2023 10:59
0;0,17225;27/05/2023 11:04
0;0,176166667;27/05/2023 11:09
0;0,183166667;27/05/2023 11:14
0;0,186166667;27/05/2023 11:19
0;0,188166667;27/05/2023 11:24
0;0,192166667;27/05/2023 11:30
0;0,193166667;27/05/2023 11:35
0;0,19725;27/05/2023 11:40
0;0,19525;27/05/2023 11:45
0;0,19725;27/05/2023 11:50
0;0,20325;27/05/2023 11:55
0;0,19725;27/05/2023 12:00
0;0,19925;27/05/2023 12:05
0;0,200166667;27/05/2023 12:10
0;0,206166667;27/05/2023 12:15
0;0,207166667;27/05/2023 12:20
0;0,209166667;27/05/2023 12:25
0;0,209166667;27/05/2023 12:31
0;0,212166667;27/05/2023 12:36
0;0,21525;27/05/2023 12:41
0;0,21525;27/05/2023 12:46
0;0,21325;27/05/2023 12:51
0;0,20825;27/05/2023 12:56
0;0,22125;27/05/2023 13:01
0;0,20425;27/05/2023 13:06
0;0,21425;27/05/2023 13:11
0;0,22125;27/05/2023 13:16
0;0,24725;27/05/2023 13:21
0;0,2265;27/05/2023 13:26
0;0,2365;27/05/2023 13:31
0;0,2525;27/05/2023 13:36
0;0,212;27/05/2023 13:41
0;0,211;27/05/2023 13:46
0;0,205;27/05/2023 13:52
0;0,221;27/05/2023 13:57
0;0,221;27/05/2023 14:02
0;0,222;27/05/2023 14:07
0;0,209;27/05/2023 14:12
0,002;0,029;27/05/2023 14:17
0;0,149;27/05/2023 14:22
0;0,206;27/05/2023 14:27
0;0,204;27/05/2023 14:32
0;0,199;27/05/2023 14:37
0;0,201;27/05/2023 14:42
0;0,186;27/05/2023 14:47
0;0,185;27/05/2023 14:52
0;0,205;27/05/2023 14:57
0;0,203;27/05/2023 15:02
0;0,197;27/05/2023 15:07
0;0,201;27/05/2023 15:12
0;0,197;27/05/2023 15:17
0;0,194;27/05/2023 15:22
0;0,191;27/05/2023 15:28
0;0,19;27/05/2023 15:33
0;0,185;27/05/2023 15:38
0;0,185;27/05/2023 15:43
0;0,184;27/05/2023 15:48
0;0,183;27/05/2023 15:53
0;0,182;27/05/2023 15:58
0;0,176;27/05/2023 16:03
0;0,167;27/05/2023 16:08
0;0,158;27/05/2023 16:13
0;0,155;27/05/2023 16:18
0;0,16;27/05/2023 16:23
0;0,162;27/05/2023 16:28
0;0,161;27/05/2023 16:33
0;0,124;27/05/2023 16:38
0;0,091;27/05/2023 16:44
0;0,082;27/05/2023 16:49
0,004;0,059;27/05/2023 16:54
0;0,051;27/05/2023 16:59
0;0,071;27/05/2023 17:04
0;0,073;27/05/2023 17:09
0;0,072;27/05/2023 17:14
0;0,042;27/05/2023 17:19
0;0,014;27/05/2023 17:24
0;0,012;27/05/2023 17:29
0;0,011;27/05/2023 17:34
0;0,011;27/05/2023 17:39
0;0,01;27/05/2023 17:45
0;0,01;27/05/2023 17:50
0;0,009;27/05/2023 17:55
0;0,008;27/05/2023 18:00
0;0,003;27/05/2023 18:05
0;0,002;27/05/2023 18:10
0;0,001;27/05/2023 18:15
0;0,001;27/05/2023 18:20
0;0,001;27/05/2023 18:25
0;0;27/05/2023 18:30
0;0,001;27/05/2023 18:35
0;0,004;27/05/2023 18:40
0;0,005;27/05/2023 18:45
0;0,004;27/05/2023 18:50
0;0,004;27/05/2023 18:55
0;0,004;27/05/2023 19:00
0;0,004;27/05/2023 19:05
0;0,001;27/05/2023 19:11
0;0,003;27/05/2023 19:16
0;0;27/05/2023 19:21
0;0;27/05/2023 19:26
0,005333333;0;27/05/2023 19:31
0,005333333;0;27/05/2023 19:36
0,005333333;0;27/05/2023 19:41
0,006166667;0;27/05/2023 19:46
0,006166667;0;27/05/2023 19:51
0,006166667;0;27/05/2023 19:56
0;0,001;27/05/2023 20:01
0;0;27/05/2023 20:06
0;0;27/05/2023 20:11
0,003166667;0;27/05/2023 20:16
0,003166667;0,002;27/05/2023 20:22
0,003166667;0,001;27/05/2023 20:27
0;0;27/05/2023 20:32
0;0;27/05/2023 20:37
0;0;27/05/2023 20:42
0,013583333;0;27/05/2023 20:47
0,013583333;0;27/05/2023 20:52
0,013583333;0;27/05/2023 20:57
0,011583333;0;27/05/2023 21:02
0,013583333;0,001;27/05/2023 21:07
0,016583333;0;27/05/2023 21:13
0,082333333;0,002;27/05/2023 21:18
0,083333333;0;27/05/2023 21:23
0,082333333;0;27/05/2023 21:28
0,02175;0;27/05/2023 21:33
0,02275;0;27/05/2023 21:38
0,02275;0;27/05/2023 21:43
0,029;0;27/05/2023 21:48
0,029;0;27/05/2023 21:53
0,029;0;27/05/2023 21:58
0,024;0;27/05/2023 22:03
0,023;0;27/05/2023 22:08
0,023;0;27/05/2023 22:13
0,022916667;0;27/05/2023 22:18
0,022916667;0;27/05/2023 22:23
0,023916667;0;27/05/2023 22:28
0,017583333;0;27/05/2023 22:33
0,017583333;0;27/05/2023 22:39
0,017583333;0;27/05/2023 22:44
0,018333333;0;27/05/2023 22:49
0,017333333;0;27/05/2023 22:54
0,017333333;0;27/05/2023 22:59
0,016083333;0;27/05/2023 23:04
0,016083333;0;27/05/2023 23:09
0,017083333;0;27/05/2023 23:14
0,0135;0;27/05/2023 23:19
0,0135;0;27/05/2023 23:24
0,0135;0;27/05/2023 23:29
0,009;0;27/05/2023 23:34
0,009;0;27/05/2023 23:39
0,009;0;27/05/2023 23:44
0,009416667;0;27/05/2023 23:50
0,009416667;0;27/05/2023 23:55
0,009416667;0;28/05/2023 0:00
0,009833333;0;28/05/2023 0:05
0,009833333;0;28/05/2023 0:10
0,009833333;0;28/05/2023 0:15
0,016333333;0;28/05/2023 0:20
0,016333333;0;28/05/2023 0:25
0,017333333;0;28/05/2023 0:30
0,018166667;0;28/05/2023 0:35
0,018166667;0;28/05/2023 0:40
0,018166667;0;28/05/2023 0:45
0,009416667;0;28/05/2023 0:50
0,009416667;0;28/05/2023 0:55
0,009416667;0;28/05/2023 1:00
0,0095;0;28/05/2023 1:05
0,0095;0;28/05/2023 1:10
0,0095;0;28/05/2023 1:15
0,009666667;0;28/05/2023 1:20
0,009666667;0;28/05/2023 1:25
0,009666667;0;28/05/2023 1:31
0,01575;0;28/05/2023 1:36
0,01575;0;28/05/2023 1:41
0,01575;0;28/05/2023 1:46
0,016166667;0;28/05/2023 1:51
0,016166667;0;28/05/2023 1:56
0,016166667;0;28/05/2023 2:01
0,010666667;0;28/05/2023 2:06
0,010666667;0;28/05/2023 2:11
0,010666667;0;28/05/2023 2:16
0,0105;0;28/05/2023 2:21
0,0105;0;28/05/2023 2:26
0,0105;0;28/05/2023 2:31
0,0105;0;28/05/2023 2:37
0,0115;0;28/05/2023 2:42
0,0105;0;28/05/2023 2:47
0,016166667;0;28/05/2023 2:52
0,016166667;0;28/05/2023 2:57
0,016166667;0;28/05/2023 3:02
0,013;0;28/05/2023 3:07
0,013;0;28/05/2023 3:12
0,013;0;28/05/2023 3:17
0,00725;0;28/05/2023 3:22
0,00725;0;28/05/2023 3:27
0,00725;0;28/05/2023 3:32
0,009166667;0;28/05/2023 3:37
0,009166667;0;28/05/2023 3:42
0,009166667;0;28/05/2023 3:48
0,009083333;0;28/05/2023 3:53
0,009083333;0;28/05/2023 3:58
0,009083333;0;28/05/2023 4:03
0,0165;0;28/05/2023 4:08
0,0165;0;28/05/2023 4:13
0,0165;0;28/05/2023 4:18
0,016166667;0;28/05/2023 4:23
0,016166667;0;28/05/2023 4:28
0,016166667;0;28/05/2023 4:33
0,01;0;28/05/2023 4:38
0,01;0;28/05/2023 4:43
0,01;0;28/05/2023 4:48
