"Time","afname","injectie","batterij","voertuig","prijs"
"Thu May 25 00:49:00 CEST 2023","0.28474998","0.0","2.1614177","33.499996","100.1"
"Thu May 25 00:54:00 CEST 2023","0.28474998","0.0","2.0780845","33.849995","100.1"
"Thu May 25 00:59:00 CEST 2023","0.2825","0.0","1.9947511","34.199993","100.1"
"Thu May 25 01:04:00 CEST 2023","0.2825","0.0","1.9114177","34.54999","90.03"
"Thu May 25 01:09:00 CEST 2023","0.2825","0.0","1.8280843","34.89999","90.03"
"Thu May 25 01:15:00 CEST 2023","0.26766664","0.0","1.744751","35.24999","90.03"
"Thu May 25 01:20:00 CEST 2023","0.26666665","0.0","1.6614176","35.599987","90.03"
"Thu May 25 01:25:00 CEST 2023","0.26666665","0.0","1.5780842","35.949986","90.03"
"Thu May 25 01:30:00 CEST 2023","0.2765833","0.0","1.4947509","36.299984","90.03"
"Thu May 25 01:35:00 CEST 2023","0.2765833","0.0","1.4114175","36.649982","90.03"
"Thu May 25 01:40:00 CEST 2023","0.2765833","0.0","1.3280841","36.99998","90.03"
"Thu May 25 01:45:00 CEST 2023","0.27558333","0.0","1.2447507","37.34998","90.03"
"Thu May 25 01:50:00 CEST 2023","0.27558333","0.0","1.1614174","37.699978","90.03"
"Thu May 25 01:55:00 CEST 2023","0.27558333","0.0","1.078084","38.049976","90.03"
"Thu May 25 02:00:00 CEST 2023","0.28183332","0.0","0.9947507","38.399975","81.74"
"Thu May 25 02:06:00 CEST 2023","0.28183332","0.0","0.91141737","38.749973","81.74"
"Thu May 25 02:11:00 CEST 2023","0.28183332","0.0","0.82808405","39.09997","81.74"
"Thu May 25 02:16:00 CEST 2023","0.28166664","0.0","0.74475074","39.44997","81.74"
"Thu May 25 02:21:00 CEST 2023","0.28166664","0.0","0.6614174","39.79997","81.74"
"Thu May 25 02:26:00 CEST 2023","0.28166664","0.0","0.5780841","40.149967","81.74"
"Thu May 25 02:31:00 CEST 2023","0.2758333","0.0","0.49475077","40.499966","81.74"
"Thu May 25 02:36:00 CEST 2023","0.2758333","0.0","0.41141742","40.849964","81.74"
